Task ID,Date Completed,Customer Num,Please select a reason why no sale took place:
23532651,8/3/2023,8698,Order Refused
23532649,8/3/2023,27868348,Order Refused
23532647,8/3/2023,27867530,Order Refused
23532588,8/3/2023,27874802,Order Refused
23532521,8/3/2023,19442,Order Refused
23532515,8/3/2023,27873264,Order Refused
23532466,8/3/2023,19347,Order Refused
23532465,8/3/2023,278221,Order Refused
23532369,8/3/2023,27874602,Order Refused
23532349,8/3/2023,19176,Order Refused
23532348,8/3/2023,27872344,Order Refused
23532331,8/3/2023,27863952,Order Refused
23532277,8/3/2023,27874592,Order Refused
23532276,8/3/2023,19377,Order Refused
23532274,8/3/2023,9663,Order Refused
23532273,8/3/2023,8518,Order Refused
23532247,8/3/2023,19501,Order Refused
23532246,8/3/2023,19340,Order Refused
23532245,8/3/2023,27866685,Order Refused
23532242,8/3/2023,27865307,Order Refused
23532241,8/3/2023,9413,Order Refused
23532240,8/3/2023,9713,Order Refused
23532176,8/3/2023,2019,Order Refused
23532156,8/3/2023,24953,Order Refused
23532128,8/3/2023,27872573,Order Refused
23532126,8/3/2023,27870843,Order Refused
23528657,7/30/2023,27868277,Order Refused
23527044,7/31/2023,8895,Order Refused
23522848,8/2/2023,27874216,Order Refused
23522846,8/2/2023,18889,Order Refused
23522843,8/2/2023,27864890,Order Refused
23522744,8/2/2023,27875998,Order Refused
23522692,8/2/2023,27075,Order Refused
23522529,8/2/2023,27874217,Order Refused
23522527,8/2/2023,11701,Order Refused
23522524,8/2/2023,10157,Order Refused
23516445,8/2/2023,27872442,Order Refused
23516292,8/2/2023,10142,Order Refused
23516189,8/2/2023,12613,Order Refused
23516186,8/2/2023,18196,Order Refused
23516139,8/2/2023,18783,Order Refused
23516119,8/2/2023,27872510,Order Refused
23516110,8/2/2023,27872308,Order Refused
23516103,8/2/2023,16055,Order Refused
23516066,8/2/2023,10188,Order Refused
23516062,8/2/2023,26389,Order Refused
23516058,8/2/2023,10857,Order Refused
23516054,8/2/2023,10755,Order Refused
23516053,8/2/2023,13424,Order Refused
23516051,8/2/2023,27873778,Order Refused
23516006,8/2/2023,27873889,Order Refused
23515996,8/2/2023,27866654,Order Refused
23515977,8/2/2023,1007,Order Refused
23515972,8/2/2023,27870478,Order Refused
23515957,8/2/2023,24427,Order Refused
23515952,8/2/2023,27875997,Order Refused
23515946,8/2/2023,16907,Order Refused
23515930,8/2/2023,27875289,Order Refused
23515888,8/2/2023,8991,Order Refused
23515841,8/2/2023,1323,Order Refused
23515838,8/2/2023,278045,Order Refused
23515763,8/2/2023,6594,Order Refused
23515756,8/2/2023,27875108,Order Refused
23515731,8/2/2023,25252,Order Refused
23515729,8/2/2023,25736,Order Refused
23515723,8/2/2023,17792,Order Refused
23515717,8/2/2023,16819,Order Refused
23515678,8/2/2023,10629,Order Refused
23515648,8/2/2023,27872901,Order Refused
23508132,8/2/2023,8256,Order Refused
23508092,8/2/2023,27874906,Order Refused
23508086,8/2/2023,152,Order Refused
23508083,8/2/2023,27873443,Order Refused
23508082,8/2/2023,168,Order Refused
23508056,8/2/2023,27864815,Order Refused
23508035,8/2/2023,27875151,Order Refused
23507987,8/2/2023,19428,Order Refused
23507893,8/2/2023,9560,Order Refused
23507892,8/2/2023,8420,Order Refused
23507890,8/2/2023,27875925,Order Refused
23507887,8/2/2023,8747,Order Refused
23507857,8/2/2023,27873327,Order Refused
23507819,8/2/2023,278582,Order Refused
23507707,8/2/2023,8599,Order Refused
23507704,8/2/2023,27875175,Order Refused
23507626,8/2/2023,3780,Order Refused
23507621,8/2/2023,4245,Order Refused
23507620,8/2/2023,27140,Order Refused
23507615,8/2/2023,8585,Order Refused
23507605,8/2/2023,9827,Order Refused
23507589,8/2/2023,27863338,Order Refused
23507570,8/2/2023,278583,Order Refused
23507564,8/2/2023,27867987,Order Refused
23507559,8/2/2023,27868668,Order Refused
23507539,8/2/2023,27872602,Order Refused
23507502,8/2/2023,9188,Order Refused
23507472,8/2/2023,19308,Order Refused
23507465,8/2/2023,19390,Order Refused
23507464,8/2/2023,9923,Order Refused
23507374,8/2/2023,9856,Order Refused
23507363,8/2/2023,27874347,Order Refused
23497387,8/1/2023,20109,Order Refused
23497374,8/1/2023,11756,Order Refused
23497349,8/1/2023,278696,Order Refused
23497176,8/1/2023,27876138,Order Refused
23491340,8/1/2023,5746,Order Refused
23491311,8/1/2023,27869491,Order Refused
23491279,8/1/2023,27868537,Order Refused
23491275,8/1/2023,27873181,Order Refused
23491220,8/1/2023,27901,Order Refused
23491215,8/1/2023,18827,Order Refused
23491207,8/1/2023,27865453,Order Refused
23491205,8/1/2023,19137,Order Refused
23491202,8/1/2023,8231,Order Refused
23491157,8/2/2023,14910,Order Refused
23491089,8/1/2023,21924,Order Refused
23491021,8/1/2023,27868013,Order Refused
23490962,8/1/2023,17772,Order Refused
23490952,8/1/2023,27252,Order Refused
23490938,8/1/2023,26957,Order Refused
23490932,8/1/2023,27874890,Order Refused
23490815,8/1/2023,27870927,Order Refused
23490812,8/1/2023,278439,Order Refused
23490810,8/1/2023,16185,Order Refused
23490790,8/1/2023,5596,Order Refused
23490717,8/1/2023,27876073,Order Refused
23490583,8/1/2023,20120,Order Refused
23490539,8/1/2023,7878,Order Refused
23490535,8/1/2023,27873583,Order Refused
23490532,8/1/2023,7420,Order Refused
23490530,8/1/2023,5204,Order Refused
23482820,8/1/2023,27874908,Order Refused
23482790,8/1/2023,3701,Order Refused
23482725,8/1/2023,27872924,Order Refused
23482721,8/1/2023,154,Order Refused
23482662,8/1/2023,8675,Order Refused
23482644,8/1/2023,27873120,Order Refused
23482576,8/1/2023,27874760,Order Refused
23482533,8/1/2023,27873853,Order Refused
23482527,8/1/2023,8818,Order Refused
23482500,8/1/2023,14118,Order Refused
23482461,8/1/2023,19226,Order Refused
23482456,8/1/2023,9952,Order Refused
23482309,8/1/2023,9526,Order Refused
23482308,8/1/2023,27867898,Order Refused
23482307,8/1/2023,27874467,Order Refused
23482291,8/1/2023,24275,Order Refused
23482244,8/1/2023,9471,Order Refused
23482240,8/1/2023,27875947,Order Refused
23482214,8/1/2023,1023,Order Refused
23482175,8/1/2023,9144,Order Refused
23482173,8/1/2023,27873214,Order Refused
23482119,8/1/2023,27875778,Order Refused
23482100,8/1/2023,8869,Order Refused
23482071,8/1/2023,27868449,Order Refused
23482068,8/1/2023,8292,Order Refused
23482062,8/1/2023,8897,Order Refused
23482060,8/1/2023,27870753,Order Refused
23482059,8/1/2023,9705,Order Refused
23482046,8/2/2023,27876115,Order Refused
23482042,8/2/2023,27409,Order Refused
23481993,8/1/2023,27873444,Order Refused
23481958,8/1/2023,27872897,Order Refused
23472221,7/31/2023,27864516,Order Refused
23472220,7/31/2023,11385,Order Refused
23472218,7/31/2023,27864127,Order Refused
23472174,7/31/2023,11398,Order Refused
23472149,7/31/2023,12050,Order Refused
23472111,7/31/2023,27874835,Order Refused
23472086,7/31/2023,27871988,Order Refused
23472052,7/31/2023,27867549,Order Refused
23471998,7/31/2023,27874545,Order Refused
23471988,7/31/2023,14783,Order Refused
23471972,7/31/2023,12499,Order Refused
23466025,7/31/2023,27863972,Order Refused
23465985,7/31/2023,27870499,Order Refused
23465923,7/31/2023,9527,Order Refused
23465904,7/31/2023,15314,Order Refused
23465789,7/31/2023,9721,Order Refused
23465788,7/31/2023,10189,Order Refused
23465702,7/31/2023,21664,Order Refused
23465692,7/31/2023,27868247,Order Refused
23465670,7/31/2023,14579,Order Refused
23465669,7/31/2023,12378,Order Refused
23465570,7/31/2023,27875284,Order Refused
23465567,7/31/2023,27873263,Order Refused
23465563,7/31/2023,27863878,Order Refused
23465541,7/31/2023,27871944,Order Refused
23465470,7/31/2023,27873096,Order Refused
23465455,7/31/2023,27875847,Order Refused
23465454,7/31/2023,27875775,Order Refused
23465423,7/31/2023,27874836,Order Refused
23465318,7/31/2023,10423,Order Refused
23465276,7/31/2023,27874617,Order Refused
23458023,7/31/2023,27876241,Order Refused
23457943,7/31/2023,2947,Order Refused
23457935,7/31/2023,27872096,Order Refused
23457929,7/31/2023,2516,Order Refused
23457800,7/31/2023,8906,Order Refused
23457791,7/31/2023,9423,Order Refused
23457440,7/31/2023,27869516,Order Refused
23457436,7/31/2023,9830,Order Refused
23457376,7/31/2023,27871961,Order Refused
23457372,7/31/2023,27874527,Order Refused
23457366,7/31/2023,27869868,Order Refused
23457363,7/31/2023,9663,Order Refused
23457358,7/31/2023,9648,Order Refused
23457338,7/31/2023,27863349,Order Refused
23457335,7/31/2023,8903,Order Refused
23457289,7/31/2023,27873442,Order Refused
23457281,7/31/2023,27872733,Order Refused
23457272,7/31/2023,278294,Order Refused
23457266,7/31/2023,27863207,Order Refused
23457210,7/31/2023,23193,Order Refused
23449966,8/1/2023,27876239,Order Refused
23449954,8/1/2023,27874322,Order Refused
23449938,8/1/2023,27871678,Order Refused
23449890,8/1/2023,27875102,Order Refused
23630536,8/3/2023,27864549,No Order Needed
23630500,8/3/2023,27873573,No Order Needed
23605043,8/2/2023,27340,No Order Needed
23561678,8/4/2023,27870485,No Order Needed
23561629,8/4/2023,27875617,No Order Needed
23561613,8/4/2023,27870443,No Order Needed
23561610,8/4/2023,27875966,No Order Needed
23561604,8/4/2023,27870702,No Order Needed
23561603,8/4/2023,27869832,No Order Needed
23561517,8/4/2023,9403,No Order Needed
23561178,8/4/2023,8515,No Order Needed
23561177,8/4/2023,8527,No Order Needed
23561176,8/4/2023,27872109,No Order Needed
23561113,8/4/2023,19331,No Order Needed
23561112,8/4/2023,9075,No Order Needed
23553472,8/4/2023,4251,No Order Needed
23553463,8/4/2023,9747,No Order Needed
23553461,8/4/2023,9720,No Order Needed
23553421,8/4/2023,27875302,No Order Needed
23553420,8/4/2023,26537,No Order Needed
23553205,8/4/2023,27874662,No Order Needed
23553204,8/4/2023,27873093,No Order Needed
23553157,8/4/2023,4816,No Order Needed
23553012,8/4/2023,27874875,No Order Needed
23552963,8/4/2023,27640,No Order Needed
23552883,8/4/2023,27867108,No Order Needed
23546961,8/3/2023,27868375,No Order Needed
23546890,8/3/2023,27875788,No Order Needed
23546840,8/3/2023,6268,No Order Needed
23546838,8/3/2023,27875242,No Order Needed
23546686,8/3/2023,10594,No Order Needed
23546663,8/3/2023,27875724,No Order Needed
23546633,8/3/2023,8060,No Order Needed
23546629,8/3/2023,278378,No Order Needed
23546624,8/3/2023,27873940,No Order Needed
23546605,8/3/2023,8165,No Order Needed
23540697,8/3/2023,27873718,No Order Needed
23540694,8/3/2023,7898,No Order Needed
23540686,8/3/2023,27870576,No Order Needed
23540683,8/3/2023,4630,No Order Needed
23540613,8/3/2023,27875412,No Order Needed
23540563,8/3/2023,8376,No Order Needed
23540561,8/3/2023,8591,No Order Needed
23540559,8/3/2023,27875708,No Order Needed
23540558,8/3/2023,27867323,No Order Needed
23540537,8/3/2023,277789,No Order Needed
23540523,8/3/2023,17868,No Order Needed
23540519,8/3/2023,27868565,No Order Needed
23540499,8/3/2023,27876077,No Order Needed
23540498,8/3/2023,27875864,No Order Needed
23540478,8/3/2023,3089,No Order Needed
23540477,8/3/2023,1166,No Order Needed
23540472,8/3/2023,27872855,No Order Needed
23540471,8/3/2023,6303,No Order Needed
23540450,8/3/2023,11381,No Order Needed
23540448,8/3/2023,27871123,No Order Needed
23540256,8/3/2023,27871585,No Order Needed
23540254,8/3/2023,27874846,No Order Needed
23540253,8/3/2023,27874575,No Order Needed
23540251,8/3/2023,27871618,No Order Needed
23540249,8/3/2023,27874814,No Order Needed
23540248,8/3/2023,27871535,No Order Needed
23540247,8/3/2023,27871644,No Order Needed
23540244,8/3/2023,27871602,No Order Needed
23540243,8/3/2023,27871569,No Order Needed
23540241,8/3/2023,27871549,No Order Needed
23540240,8/3/2023,27875822,No Order Needed
23540237,8/3/2023,27871564,No Order Needed
23540236,8/3/2023,27876044,No Order Needed
23540235,8/3/2023,27875843,No Order Needed
23540234,8/3/2023,27874224,No Order Needed
23540231,8/3/2023,27871741,No Order Needed
23540230,8/3/2023,5558,No Order Needed
23540229,8/3/2023,27871635,No Order Needed
23540226,8/3/2023,27870494,No Order Needed
23540219,8/3/2023,27874002,No Order Needed
23540182,8/3/2023,5569,No Order Needed
23540142,8/3/2023,27873361,No Order Needed
23540139,8/3/2023,27864016,No Order Needed
23540138,8/3/2023,27869865,No Order Needed
23540082,8/3/2023,9192,No Order Needed
23540053,8/3/2023,27863222,No Order Needed
23539950,8/3/2023,8167,No Order Needed
23532932,8/3/2023,18167,No Order Needed
23532894,8/3/2023,9790,No Order Needed
23532849,8/3/2023,27872172,No Order Needed
23532751,8/3/2023,27867572,No Order Needed
23532735,8/3/2023,27868022,No Order Needed
23532725,8/3/2023,19547,No Order Needed
23532716,8/3/2023,9716,No Order Needed
23532677,8/3/2023,11918,No Order Needed
23532626,8/3/2023,27872648,No Order Needed
23532586,8/3/2023,8408,No Order Needed
23532483,8/3/2023,27873591,No Order Needed
23532481,8/3/2023,27876032,No Order Needed
23532478,8/3/2023,27868189,No Order Needed
23532436,8/3/2023,27869419,No Order Needed
23532432,8/3/2023,26699,No Order Needed
23532431,8/3/2023,24185,No Order Needed
23532427,8/3/2023,27867192,No Order Needed
23532328,8/3/2023,27875576,No Order Needed
23532318,8/3/2023,22608,No Order Needed
23532311,8/3/2023,27875044,No Order Needed
23532279,8/3/2023,19209,No Order Needed
23532200,8/3/2023,27872928,No Order Needed
23532193,8/3/2023,3679,No Order Needed
23522820,8/2/2023,27872104,No Order Needed
23522819,8/2/2023,27875700,No Order Needed
23522816,8/2/2023,24149,No Order Needed
23522800,8/2/2023,11731,No Order Needed
23522795,8/2/2023,15410,No Order Needed
23522794,8/2/2023,17915,No Order Needed
23522793,8/2/2023,27869790,No Order Needed
23522726,8/2/2023,8072,No Order Needed
23522723,8/2/2023,27872866,No Order Needed
23522718,8/2/2023,7280,No Order Needed
23522717,8/2/2023,7078,No Order Needed
23522665,8/2/2023,7698,No Order Needed
23522658,8/2/2023,27868709,No Order Needed
23522655,8/2/2023,6316,No Order Needed
23522556,8/2/2023,5814,No Order Needed
23522548,8/2/2023,27873600,No Order Needed
23522534,8/2/2023,27875797,No Order Needed
23516451,8/2/2023,27872888,No Order Needed
23516443,8/2/2023,27871940,No Order Needed
23516372,8/2/2023,27875873,No Order Needed
23516367,8/2/2023,27876121,No Order Needed
23516364,8/2/2023,27872213,No Order Needed
23516360,8/2/2023,27872214,No Order Needed
23516359,8/2/2023,27870445,No Order Needed
23516357,8/2/2023,27870493,No Order Needed
23516356,8/2/2023,27869832,No Order Needed
23516311,8/2/2023,8212,No Order Needed
23516306,8/2/2023,8699,No Order Needed
23516236,8/2/2023,27873868,No Order Needed
23516234,8/2/2023,11367,No Order Needed
23516227,8/2/2023,27874452,No Order Needed
23516225,8/2/2023,27872892,No Order Needed
23516222,8/2/2023,27873652,No Order Needed
23516191,8/2/2023,28005,No Order Needed
23516188,8/2/2023,15107,No Order Needed
23516185,8/2/2023,27865250,No Order Needed
23516183,8/2/2023,10398,No Order Needed
23516130,8/2/2023,17840,No Order Needed
23516126,8/2/2023,27872318,No Order Needed
23516108,8/2/2023,27875567,No Order Needed
23516009,8/2/2023,27872253,No Order Needed
23516000,8/2/2023,27875790,No Order Needed
23515988,8/2/2023,27875859,No Order Needed
23515987,8/2/2023,27870698,No Order Needed
23515986,8/2/2023,27876196,No Order Needed
23515985,8/2/2023,27875932,No Order Needed
23515982,8/2/2023,27870582,No Order Needed
23515981,8/2/2023,27867617,No Order Needed
23515979,8/2/2023,27874498,No Order Needed
23515975,8/2/2023,27870482,No Order Needed
23515942,8/2/2023,27875325,No Order Needed
23515935,8/2/2023,19421,No Order Needed
23515815,8/2/2023,27873994,No Order Needed
23515808,8/2/2023,27864563,No Order Needed
23515768,8/2/2023,27872899,No Order Needed
23515651,8/2/2023,27873468,No Order Needed
23515650,8/2/2023,27869290,No Order Needed
23515646,8/2/2023,6999,No Order Needed
23508209,8/2/2023,27421,No Order Needed
23508152,8/2/2023,9464,No Order Needed
23508104,8/2/2023,27868203,No Order Needed
23508102,8/2/2023,148,No Order Needed
23508097,8/2/2023,27865037,No Order Needed
23507995,8/2/2023,27876001,No Order Needed
23507962,8/2/2023,27456,No Order Needed
23507878,8/2/2023,27864208,No Order Needed
23507822,8/2/2023,27867988,No Order Needed
23507757,8/2/2023,8969,No Order Needed
23507753,8/2/2023,27867891,No Order Needed
23507727,8/2/2023,27875794,No Order Needed
23507706,8/2/2023,278586,No Order Needed
23507627,8/2/2023,278329,No Order Needed
23507606,8/2/2023,8471,No Order Needed
